Pressure,langle,wangle,stroke,wsize,distance,lsize,margin,Target
118,-42.0035371,61.31706724,43,74988,123,27662,0,Openness
141,23.9286424,72.46905177,27,60726,78,21433,64,Openness
126,-172.2856537,-163.7400917,21,47170,117,19397,0,Openness
165,-174.0777589,-139.1877436,17,72999,40,32536,32,Openness
139,160.3870146,170.5808773,29,63295,58,23617,0,Openness
149,173.9573086,137.8544392,42,69327,64,15728,11,Openness
130,92.80435549,61.91610729,54,50828,77,20000,69,Openness
149,173.0035706,110.1227578,37,85693,42,24825,83,Openness
120,174.3952454,168.1457993,35,43536,52,11642,0,Openness
157,170.7611194,145.6758717,41,89535,42,21341,48,Openness
118,147.9016807,140.0783111,31,49841,94,11440,0,Openness
123,177.3402156,151.213605,43,62624,48,4891,68,Openness
119,-81.98043407,-64.3945088,45,50183,138,18934,0,Openness
137,67.84157131,54.47729954,48,87166,47,19796,57,Openness
143,162.0900704,151.2732885,49,57653,105,33555,92,Openness
157,158.4345305,109.0662913,32,59751,65,25772,46,Openness
161,177.7707443,177.5553825,29,92324,92,53250,241,Openness
123,177.106196,147.3836717,35,80782,49,19182,73,Openness
160,153.2986492,131.3375155,27,60393,119,28409,220,Openness
138,177.1036345,158.8394714,10,64756,59,44450,42,Openness
144,155.0109012,144.9547243,49,67773,93,12746,249,Openness
134,130.3034936,149.4355734,26,54474,82,16008,63,Openness
147,150.3297463,88.14846572,38,67208,91,22547,135,Openness
118,-177.6993538,-124.2626108,26,78239,49,30787,40,Openness
127,167.3719885,93.35197687,33,50844,99,17631,90,Openness
117,-101.9882312,-56.48934498,34,69439,82,11452,52,Openness
120,-175.4790995,-163.1276414,40,52642,114,10321,0,Openness
124,-162.8312444,-34.2848952,36,52979,59,6657,73,Openness
151,146.5238055,127.8609207,30,80529,70,45429,0,Openness
156,176.632822,131.9669564,23,84385,36,44727,53,Openness
122,67.82318879,21.18561862,43,47623,102,7756,258,Openness
115,25.25647883,101.3510691,33,45721,55,7187,56,Openness
